SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList,parameters,Use
95051,4,0.998096525,0.001719146,0.036038963,0.031152776,0.018188893,0.015959751,0.548328156,0.480032969,0.801574309,0.039952937,0.451636656,0.03063193,0.325343721,0.023239819,12.39488204,0.890378307,"Temperature[K],MoRSEm7_7,MolWt,WHIM_P3c_2",pureQuadratic_exponential,TRUE
2362,4,0.999999767,5.68E-08,0.00048974,6.22E-05,0.000282249,2.67E-05,0.008921949,0.0009617,0.801474701,0.031431246,0.454096765,0.050635952,0.333344067,0.027435522,12.71779419,3.08615562,"ATSc11_3,BertzCT,Temperature[K],MoRSEm7_7",none_exponential,TRUE
95048,4,0.916732676,0.020526413,0.292699976,0.032972095,0.199090592,0.025681016,5.917681661,0.749318203,0.801325905,0.048746726,0.451181737,0.046029346,0.32679096,0.034926814,12.14377836,1.84952366,"Temperature[K],MoRSEm7_7,MolWt,RDFc17_4",none_matern32,TRUE
95832,4,0.920639856,0.016736304,0.285954044,0.026928002,0.204579321,0.020076972,6.249311495,0.500215182,0.801192839,0.048255961,0.451233003,0.036918164,0.342681059,0.032376467,11.12841743,0.708464902,"Temperature[K],MoRSEu23_7,getawayHATSIP2_3,getawayHV3_3",none_matern32,TRUE
93474,4,0.973277641,0.014764674,0.161252541,0.047174238,0.101891983,0.031337474,3.285853224,1.148368034,0.801085707,0.033495581,0.452868603,0.021613541,0.322144846,0.01758449,13.08442673,1.32720101,"Temperature[K],MoRSEV27_3,RDFc14_6,getawayHATSIP2_3",pureQuadratic_rationalquadratic,TRUE
97278,4,0.887573747,0.009360952,0.341802762,0.0094907,0.25022268,0.007483335,7.919029794,0.310609558,0.801058044,0.012896556,0.454488128,0.017399998,0.322771095,0.006953337,13.87107065,1.739333265,"Temperature[K],MolWt,PBFscore_1,rho_2",constant_rationalquadratic,TRUE
91650,4,0.883995509,0.011200002,0.347132273,0.013151704,0.249405777,0.006610069,7.633052077,0.321550053,0.801029532,0.041324334,0.452233189,0.031019696,0.336083062,0.030189774,11.83358519,1.603106913,"Temperature[K],MATSc25_1,getawayHATSIP2_3,getawayHATSm8_1",constant_matern32,TRUE
100435,4,0.861495892,0.012992098,0.379273681,0.011775699,0.284410665,0.011513443,9.106662962,0.227786016,0.800955465,0.024594085,0.453765773,0.015885521,0.339193752,0.01039312,12.69620656,1.847181688,"Temperature[K],getawayHATSIP2_3,getawayHm7_3,rho_2",pureQuadratic_matern32,TRUE
93386,4,0.999107679,0.001369622,0.021756936,0.025477356,0.013076794,0.015628075,0.399156221,0.480829961,0.800910873,0.078582947,0.447485715,0.070617067,0.285589446,0.040797835,11.78389214,0.599074037,"Temperature[K],MoRSEV27_3,MolWt,rho_1",pureQuadratic_exponential,TRUE
23305,4,0.976842128,0.005382824,0.15454002,0.016656911,0.096766782,0.008977169,2.944705137,0.303478874,0.800891932,0.040847043,0.454067459,0.056813198,0.290563179,0.027190765,11.8267545,2.34107172,"ATSc17_2,Temperature[K],MoRSEm7_7,rho_1",constant_rationalquadratic,TRUE
88453,4,0.864947205,0.014099202,0.374456296,0.014063496,0.272423692,0.013911504,8.278950215,0.324423736,0.800643178,0.044704433,0.452279448,0.032808209,0.342395211,0.026026871,12.09219276,1.166801855,"Temperature[K],Ipc,getawayHATSIP2_3,getawayHm7_3",none_matern32,TRUE
100359,4,0.969756007,0.008305012,0.175945524,0.022930054,0.122806618,0.016553366,3.898399153,0.489836591,0.800557955,0.020572502,0.454639694,0.02049794,0.331371671,0.010373523,12.80713688,1.240123206,"Temperature[K],getawayHATSIP2_3,getawayHATSIP4_3,rho_2",none_exponential,TRUE
88447,4,0.8596527,0.012563975,0.381810757,0.010907183,0.276610788,0.009470924,8.441490557,0.048284891,0.800469638,0.042481917,0.452678972,0.030942128,0.33984416,0.02767949,11.68761352,0.461980873,"Temperature[K],Ipc,getawayHATSIP2_3,getawayHATSc13_3",none_matern32,TRUE
99938,4,0.854927007,0.018815889,0.387792619,0.01936408,0.285667811,0.018137884,9.308947596,0.786015856,0.800337361,0.039272518,0.453184177,0.026981317,0.340334314,0.027434922,13.27797332,0.526357231,"Temperature[K],fr_Al_COO,fr_bicyclic,getawayHATSIP2_3",pureQuadratic_matern52,TRUE
89032,4,0.976894381,0.009966401,0.152615294,0.030054879,0.099974922,0.020098865,2.993191018,0.58962315,0.800180881,0.032563309,0.454068457,0.024945706,0.324063515,0.026163827,13.00004087,1.436174967,"Temperature[K],MATSEA1_2,MolWt,getawayHATSIP2_3",pureQuadratic_rationalquadratic,TRUE
98488,4,0.985902002,0.004538771,0.120291482,0.021283875,0.072981089,0.014691664,2.233468206,0.478422872,0.800147993,0.025712637,0.455823777,0.044091389,0.319531317,0.007962581,12.72912409,3.159446075,"Temperature[K],PNSA3_1,getawayHATSIP2_3,getawayHATSc13_3",linear_exponential,TRUE
95829,4,0.965150237,0.010883116,0.188971968,0.028314327,0.129179656,0.019747299,3.912388934,0.661648299,0.799890882,0.042991007,0.4536364,0.044841287,0.336199344,0.027904201,11.67593237,1.889696799,"Temperature[K],MoRSEu23_7,getawayHATSIP2_3,getawayHATSm8_1",pureQuadratic_exponential,TRUE
100449,4,0.906939046,0.012440982,0.310602758,0.0160163,0.228381257,0.012575761,7.057195132,0.246158531,0.799868167,0.019298866,0.455383753,0.013572207,0.337741228,0.001642275,12.51565267,0.943622833,"Temperature[K],getawayHATSIP2_3,k_1,rho_2",constant_matern32,TRUE
92624,4,0.982030574,0.005947494,0.135300538,0.021300841,0.090326244,0.015214774,2.689238594,0.449608742,0.799725495,0.026438589,0.455006807,0.015015653,0.341033902,0.019082618,11.66304373,1.13198712,"Temperature[K],MATSm16_6,MoRSEu23_7,getawayHATSIP2_3",pureQuadratic_exponential,TRUE
99973,4,0.925898569,0.010708624,0.277207098,0.018191687,0.188830468,0.010808885,5.756918766,0.472210771,0.799667449,0.037803796,0.454309736,0.035760642,0.330924999,0.021075368,12.83655733,1.866678077,"Temperature[K],fr_Al_COO,getawayHATSIP2_3,getawayHATSm8_1",none_exponential,TRUE
95134,4,0.999065374,0.001562672,0.020545887,0.028412442,0.010996661,0.015258127,0.344331424,0.479910548,0.799457922,0.01562377,0.456206603,0.019081552,0.312563552,0.010865413,13.14720879,1.942819007,"Temperature[K],MoRSEm7_7,PNSA3_1,getawayHATSIP2_3",constant_exponential,TRUE
99018,4,0.928561565,0.015263949,0.271603108,0.026703989,0.178199136,0.018194906,5.409314684,0.684508623,0.79945092,0.030860837,0.455086027,0.025212317,0.325922638,0.021967689,12.73368059,1.811489487,"Temperature[K],RDFc17_4,getawayHATSIP2_3,getawayHATSm8_1",pureQuadratic_exponential,TRUE
23199,4,0.922888111,0.011064784,0.282825888,0.01917364,0.196686729,0.01067698,5.974527931,0.405154289,0.799371188,0.038190735,0.455285023,0.047942877,0.322771103,0.027017312,11.40923025,1.577964593,"ATSc17_2,Temperature[K],MoRSEV27_3,getawayREn1_7",constant_matern32,TRUE
23189,4,0.895665191,0.019042634,0.328348322,0.026140082,0.238342091,0.019766373,7.384366923,0.596861233,0.799353559,0.047792746,0.453543,0.041593875,0.329227086,0.035082169,12.7271067,2.148399146,"ATSc17_2,Temperature[K],MoRSEV27_3,getawayHATSIP2_3",constant_matern52,TRUE
92967,4,0.943554457,0.015449417,0.240791243,0.030415301,0.161281772,0.022514684,4.862286407,0.761793953,0.799351267,0.032481917,0.455350113,0.035850564,0.332200371,0.017184628,12.99209942,2.404232845,"Temperature[K],MATSm16_6,fr_Al_COO,getawayHATSIP2_3",constant_exponential,TRUE
91014,4,0.999952618,8.01E-05,0.004643922,0.006306396,0.002180019,0.003263408,0.064263808,0.096082245,0.799347287,0.026442745,0.455559596,0.021878614,0.31187252,0.010465946,11.76154656,1.505677264,"Temperature[K],MATSP15_4,getawayREn1_7,rho_1",constant_exponential,TRUE
98763,4,0.981174848,0.0055687,0.138613836,0.01970212,0.078846956,0.011917256,2.500631287,0.44208712,0.799337203,0.035200743,0.454963341,0.034186413,0.323637884,0.021916954,13.52939055,2.462660404,"Temperature[K],RDFc14_6,getawayHATSIP2_3,getawayHATSV8_2",none_exponential,TRUE
91255,4,0.874723565,0.017497513,0.360256551,0.019952292,0.267013354,0.015394993,8.259108545,0.384289178,0.799290974,0.039743656,0.454397952,0.029388295,0.345289486,0.023373598,11.53231608,1.130136015,"Temperature[K],MATSc25_1,MoRSEu23_7,getawayHATSIP2_3",none_matern32,TRUE
97458,4,0.912706646,0.006681144,0.3011967,0.006592236,0.21837504,0.003304567,6.851525984,0.120318319,0.799237276,0.024417196,0.455669872,0.011863729,0.329298962,0.011821569,13.03699441,0.878369613,"Temperature[K],MolWt,c_3,rho_2",linear_matern32,TRUE
