ATSc11_3,ATSc17_2,ATSm6_2,BertzCT,EState_VSA6,Temperature[K],FPSA3_1,Ipc,MATSEA1_2,MATSP11_6,MATSP15_4,MATSc25_1,MATSm11_1,MATSm16_6,MoRSEV27_3,MoRSEc2_2,MoRSEm20_1,MoRSEm7_7,MoRSEu23_7,MoRSEu29_1,MoRSEu4_7,MoRSEu5_1,MolWt,PBFscore_1,PEOE_VSA5,PNSA3_1,RDFc14_6,RDFc17_4,RDFc5_1,VSA_EState8,WHIM_P3c_2,c_3,fr_Al_COO,fr_bicyclic,getawayHATSEn6_2,getawayHATSIP2_3,getawayHATSIP4_3,getawayHATSV8_2,getawayHATSc13_3,getawayHATSm8_1,getawayHTc_1,getawayHV1_2,getawayHV3_3,getawayHV4_2,getawayHm7_3,getawayREn1_7,getawayRmaxP7_2,k3_2,k_1,rho_1,rho_2
0.0,0.0,0.266385807,33.30296891,0.0,318.4957895,0.034983301,33.54887502,0.0,1.5,0.0,0.0,1.169943168,0.0,0.141673434,0.003121309,-0.017222184,-0.163824877,1.084467792,-0.237285657,-0.749480419,-1.087177641,84.162,0.97828689,0.0,-31.86877556,1.5799999999999998e-120,0.0,0.179779204,2.340277778,0.012903487,0.474035209,0,0,0.0,0.90495207,1.606789097,0.0,0.0,0.0,0.009878352,0.05272779,0.371780044,0.051305508,0.0,2.072619324,0.0,0.006728441,0.162309354,0.723852134,0.008490764
0.0,0.0,0.267133236,33.30296891,0.0,321.5273684,0.034992885,33.54887502,0.0,1.5,0.0,0.0,1.169031705,0.0,0.151241747,0.003120132,-0.017705205,-0.168941147,1.005695895,-0.234803937,-0.850639099,-1.08485549,84.162,0.988612922,0.0,-31.86614703,1.21e-120,0.0,0.179275567,2.340277778,0.012854522,0.446558387,0,0,0.0,0.908841086,1.618600365,0.0,0.0,0.0,0.009900511,0.053134516,0.371805357,0.051837034,0.0,2.089114312,0.0,0.006770745,0.161543392,0.722540113,0.006623157
0.0,0.0,0.267438867,33.30296891,0.0,324.5589474,0.034980777,33.54887502,0.0,1.5,0.0,0.0,1.175858741,0.0,0.122723241,0.003139868,-0.017318536,-0.162876107,1.170678523,-0.234644203,-0.712584962,-1.088704853,84.162,0.973672423,0.0,-31.8750182,3.39e-120,0.0,0.179270249,2.340277778,0.012926982,0.438765208,0,0,0.0,0.909349142,1.620073429,0.0,0.0,0.0,0.009899286,0.053168145,0.359265815,0.051710427,0.0,2.068988553,0.0,0.006738436,0.162894373,0.719230495,0.006282157
0.0,0.0,0.266725473,33.30296891,0.0,327.5905263,0.034979225,33.54887502,0.0,1.5,0.0,0.0,1.171694606,0.0,0.150081688,0.003158607,-0.017487751,-0.129472318,1.111566553,-0.236542626,-0.759544838,-1.083645782,84.162,0.975657171,0.0,-31.87788958,2.9599999999999998e-120,0.0,0.179149235,2.340277778,0.013060549,0.46260077,0,0,0.0,0.903730632,1.615243604,0.0,0.0,0.0,0.009938192,0.053176242,0.371570573,0.051792535,0.0,2.072295974,0.0,0.006711687,0.162645444,0.719484086,0.006646984
0.0,0.0,0.268350424,33.30296891,0.0,330.6221053,0.034995296,33.54887502,0.0,1.5,0.0,0.0,1.184133395,0.0,0.143750881,0.003186139,-0.017447075,-0.134936782,1.072955809,-0.234022286,-0.746753478,-1.09246839,84.162,0.968165922,0.0,-31.87102721,4.12e-119,0.0,0.178271445,2.340277778,0.013065091,0.454741141,0,0,0.0,0.910318277,1.62466571,0.0,0.0,0.0,0.009959995,0.053409772,0.312056595,0.051698582,0.0,2.071912878,0.0,0.006723184,0.164503958,0.712599173,0.005984374
0.0,0.0,0.269104563,33.30296891,0.0,333.6536842,0.034979221,33.54887502,0.0,1.5,0.0,0.0,1.183061086,0.0,0.09951832,0.003176879,-0.017362228,-0.17480745,1.191058192,-0.235986277,-0.690450774,-1.089724537,84.162,0.965247764,0.0,-31.88121945,2.0799999999999998e-119,0.0,0.1782846,2.340277778,0.013246864,0.396591257,0,0,0.0,0.910236779,1.62546011,0.0,0.0,0.0,0.009950082,0.053276323,0.371802832,0.051455989,0.0,2.073037342,0.0,0.006767442,0.164350169,0.712700762,0.005821916
0.0,0.0,0.27021754,33.30296891,0.0,336.6852632,0.034974891,33.54887502,0.0,1.5,0.0,0.0,1.192979948,0.0,0.14799087,0.00318042,-0.016733188,-0.141095464,0.903827256,-0.23361775,-0.672573589,-1.093203848,84.162,0.962630444,0.0,-31.88941196,2.74e-119,0.0,0.177548325,2.340277778,0.013207894,0.462480333,0,0,0.0,0.907287838,1.615653481,0.0,0.0,0.0,0.00995834,0.053421596,0.371050575,0.051504458,0.0,2.069981075,0.0,0.006695642,0.165003127,0.708234435,0.006791959
0.0,0.0,0.268748018,33.30296891,0.0,339.7168421,0.034980833,33.54887502,0.0,1.5,0.0,0.0,1.199199342,0.0,0.139402204,0.003222912,-0.017442411,-0.154589749,0.947179706,-0.233627136,-0.742914163,-1.094926128,84.162,0.954680733,0.0,-31.88922855,7.609999999999999e-119,0.0,0.177437245,2.340277778,0.013230632,0.413590008,0,0,0.0,0.909689109,1.613866885,0.0,0.0,0.0,0.00997353,0.054037246,0.369496292,0.051580542,0.0,2.086178397,0.0,0.006666194,0.166088066,0.704786489,0.006181091
0.0,0.0,0.268616248,33.30296891,0.0,342.7484211,0.034981848,33.54887502,0.0,1.5,0.0,0.0,1.200736319,0.0,0.152841774,0.003210004,-0.017345197,-0.14503129,0.978219266,-0.234891162,-0.853038193,-1.099175771,84.162,0.94813154,0.0,-31.89193418,2.86e-118,0.0,0.177173559,2.340277778,0.013267639,0.437133979,0,0,0.0,0.906341789,1.601567728,0.0,0.0,0.0,0.009966699,0.053677189,0.370643777,0.051420817,0.0,2.079822964,0.0,0.006703885,0.16625622,0.701108294,0.006327912
0.0,0.0,0.269745143,33.30296891,0.0,345.78,0.034983816,33.54887502,0.0,1.5,0.0,0.0,1.196125389,0.0,0.137480718,0.003260111,-0.017424686,-0.152433944,1.062216864,-0.231539702,-0.64868672,-1.096948576,84.162,0.955831998,0.0,-31.88896863,2.4100000000000003e-118,0.0,0.176680628,2.340277778,0.013248227,0.392370624,0,0,0.0,0.9099393,1.628724966,0.0,0.0,0.0,0.00999213,0.053714572,0.371515053,0.051721658,0.0,2.080589478,0.0,0.00672794,0.166334386,0.703223914,0.007126462
