SMILES,LowerTempLimit[K],UpperTempLimit[K],TemperatureRange[K],A_antione,B_antione,C_antione,URL,EvaluationTemperature[K],VaporPress[Pa],VP2_LOGPA,smiles,group,group_plot,VP_LOGPA
CCCCC(C)O,298,415,117,5.51932,2076.433,-36.261,https://webbook.nist.gov/cgi/cbook.cgi?ID=C626937&Units=SI&Mask=4,387,39733.26856,4.599154293,CCCCC(C)O,training,Train,4.599154293
C=CCCCCCCC,339.76,421.01,81.25,4.07879,1435.359,-67.615,https://webbook.nist.gov/cgi/cbook.cgi?ID=C124118&Units=SI&Mask=4,387,38428.72373,4.584655961,C=CCCCCCCC,training,Train,4.584655961
CCC1CCCC(C)C1,348.31,464.42,116.11,4.01035,1441.777,-61.587,https://webbook.nist.gov/cgi/cbook.cgi?ID=C19489102&Units=SI&Mask=4,387,37996.47914,4.579743356,CCC1CCCC(C)C1,training,Train,4.579743356
C=CC(=O)OCCCC,272.7,420.6,147.9,4.42683,1658.03,-45.561,https://webbook.nist.gov/cgi/cbook.cgi?ID=C141322&Units=SI&Mask=4,387,37224.04031,4.57082351,C=CC(=O)OCCCC,training,Train,4.57082351
CCCCCCC=O,285,428,143,2.60077,686.453,-161.333,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111717&Units=SI&Mask=4,387,36214.73203,4.558885276,CCCCCCC=O,training,Train,4.558885276
CCOC(OCC)OCC,278.7,419,140.3,4.84152,1821.195,-42.668,https://webbook.nist.gov/cgi/cbook.cgi?ID=C122510&Units=SI&Mask=4,387,35682.31748,4.552453053,CCOC(OCC)OCC,training,Train,4.552453053
C1CCCCCCC1,369.86,467.6,97.74,3.98805,1438.687,-63.024,https://webbook.nist.gov/cgi/cbook.cgi?ID=C292648&Units=SI&Mask=4,387,35263.79778,4.547329082,C1CCCCCCC1,training,Train,4.547329082
O=C(OC1CCCCC1)C(F)(F)F,345,420.1,75.1,4.8594,1905.8,-28.3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1549457&Units=SI&Mask=4,387,35182.36314,4.546325007,O=C(OC1CCCCC1)C(F)(F)F,valid,Val.,4.546325007
CC(C)COC(=O)C(C)C,277.3,420.7,143.4,4.76033,1806.356,-40.698,https://webbook.nist.gov/cgi/cbook.cgi?ID=C97858&Units=SI&Mask=4,387,35010.69448,4.544200726,CC(C)COC(=O)C(C)C,training,Train,4.544200726
CCCCCCCCC,343.49,424.94,81.45,4.06245,1430.377,-71.355,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111842&Units=SI&Mask=4,387,33950.76982,4.530849626,CCCCCCCCC,training,Train,4.530849626
CC(C)c1ccccc1,343.17,426.52,83.35,4.05419,1455.811,-65.948,https://webbook.nist.gov/cgi/cbook.cgi?ID=C98828&Units=SI&Mask=4,387,33089.31685,4.519687801,CC(C)c1ccccc1,test,Test,4.519687801
