Temperature [1/K],Vapor Pressure [Torr],Temperature [K],Temperature [C],MAC,Vapor Pressure [Pa],Outlier,Reference,Paperpile,Link,Data Status,file,Filename,SMILES,smiles
0.002737273,8.27E-05,365.3271338,,,0.011024635,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002746364,7.55E-05,364.1178418,,,0.010067904,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002755455,6.90E-05,362.9165292,,,0.009194199,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002764545,6.30E-05,361.7231174,,,0.008396316,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002773636,5.75E-05,360.5375287,,,0.007667674,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002782727,5.25E-05,359.3596864,,,0.007002264,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002791818,4.80E-05,358.1895148,,,0.006394599,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002800909,4.38E-05,357.0269393,,,0.005839668,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00281,4.00E-05,355.8718861,,,0.005332895,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002819091,3.65E-05,354.7242825,,,0.0048701,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002828182,3.34E-05,353.5840566,,,0.004447467,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002837273,3.05E-05,352.4511375,,,0.00406151,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002846364,2.78E-05,351.3254551,,,0.003709048,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002855455,2.54E-05,350.2069405,,,0.003387172,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002864545,2.32E-05,349.0955252,,,0.003093229,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002873636,2.12E-05,347.991142,,,0.002824795,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002882727,1.93E-05,346.8937244,,,0.002579656,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002891818,1.77E-05,345.8032065,,,0.00235579,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002900909,1.61E-05,344.7195237,,,0.002151352,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00291,1.47E-05,343.6426117,,,0.001964655,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002919091,1.35E-05,342.5724073,,,0.00179416,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002928182,1.23E-05,341.5088482,,,0.001638461,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002937273,1.12E-05,340.4518725,,,0.001496273,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002946364,1.02E-05,339.4014193,,,0.001366425,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002955455,9.36E-06,338.3574285,,,0.001247845,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002964545,8.55E-06,337.3198405,,,0.001139555,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002973636,7.81E-06,336.2885968,,,0.001040663,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002982727,7.13E-06,335.2636391,,,0.000950353,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002991818,6.51E-06,334.2449104,,,0.000867881,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003000909,5.94E-06,333.2323538,,,0.000792565,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00301,5.43E-06,332.2259136,,,0.000723785,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003019091,4.96E-06,331.2255345,,,0.000660974,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003028182,4.53E-06,330.2311618,,,0.000603614,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003037273,4.13E-06,329.2427417,,,0.000551232,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003046364,3.78E-06,328.2602208,,,0.000503395,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003055455,3.45E-06,327.2835466,,,0.00045971,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003064545,3.15E-06,326.3126669,,,0.000419816,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003073636,2.88E-06,325.3475303,,,0.000383384,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003082727,2.63E-06,324.3880861,,,0.000350113,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003091818,2.40E-06,323.434284,,,0.00031973,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003100909,2.19E-06,322.4860745,,,0.000291983,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00311,2.00E-06,321.5434084,,,0.000266645,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003119091,1.83E-06,320.6062372,,,0.000243505,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003128182,1.67E-06,319.6745132,,,0.000222373,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003137273,1.52E-06,318.7481889,,,0.000203076,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003146364,1.39E-06,317.8272176,,,0.000185452,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003155455,1.27E-06,316.9115529,,,0.000169359,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003164545,1.16E-06,316.0011491,,,0.000154661,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003173636,1.06E-06,315.095961,,,0.00014124,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003182727,9.67E-07,314.195944,,,0.000128983,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003191818,8.83E-07,313.3010538,,,0.00011779,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003200909,8.07E-07,312.4112468,,,0.000107568,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00321,7.37E-07,311.5264798,,,9.82E-05,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.003219091,6.73E-07,310.64671,,,8.97E-05,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
